url,Heritage.Category,List.Entry.Number,Local.Planning.Authority,Site.Type,Unitary.Authority,Parish,Parliamentary.Constituency,Region,Assessment.Type,Condition,Principal.Vunerability,Trend,Ownership,Building.Name,Street.Name,Locality,County,District...Borough,Occupancy...Use,Priority,Previous.Priority,Designation,List.Entry.Number.s.,National.Park,Vulnerability,ListEntry,dataset,end.date,entity,entry.date,name,point,start.date,typology,geography,heritage.at.risk,organisation,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon,Grade
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117, Registered Park and Garden grade II,1000215, Test Valley, Gardens parks and urban spaces > Landscape park,NA, Wellow, Romsey and Southampton North, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA,NA, High,1000215,heritage-at-risk,NA,7500352,2024-09-26,Embley Park,POINT(-1.539065 50.984474),NA,geography,NA,NA,NA,EMBLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000215,SU 32390 20704,432390,120710,NA,50.9848884861012,-1.53994005533874,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26118, Registered Park and Garden grade II,1000484, Enfield, Gardens parks and urban spaces > Landscape park,NA,NA, Southgate and Wood Green, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA, Greater London, Enfield,NA,NA,NA," Registered Park and Garden grade II, 19 LBs, SM, part in CA ",NA,NA, Medium,1000484,heritage-at-risk,NA,7500667,2024-09-26,Trent Park,POINT(-0.140819 51.661538),NA,geography,NA,NA,NA,TRENT PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000484,TQ 28735 97589,528735,197589,NA,51.6623456205991,-0.140126632852789,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26123, Registered Park and Garden grade II,1000530, West Berkshire (UA), Gardens parks and urban spaces > Landscape park, West Berkshire (UA), Aldermaston, Reading West and Mid Berkshire, London and South East, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 12 LBs, part in CA ",NA,NA, High,1000530,heritage-at-risk,NA,7500358,2024-09-26,Aldermaston Court,POINT(-1.145050 51.378327),NA,geography,NA,NA,NA,ALDERMASTON COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000530,SU5964064639,459736,164757,NA,51.3787306341853,-1.14309047679271,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26124, Registered Park and Garden grade II,1000333, West Berkshire (UA), Gardens parks and urban spaces > Landscape park, West Berkshire (UA), Greenham / Newtown, Newbury / North West Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Declining," Mixed, multiple owners",NA,NA,NA, Hampshire, Basingstoke and Deane,NA,NA,NA," Registered Park and Garden grade II, 2 LBs ",NA,NA, High,1000333,heritage-at-risk,NA,7500354,2024-09-26,Sandleford Priory,POINT(-1.313978 51.377723),NA,geography,NA,NA,NA,SANDLEFORD PRIORY,https://historicengland.org.uk/listing/the-list/list-entry/1000333,"SU4783664509, SU4743264564",447871,164518,NA,51.3777039832398,-1.31358621071533,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26133, Registered Park and Garden grade II,1000420, Somerset Council (UA), Gardens parks and urban spaces > Landscape park, Somerset Council (UA), Shepton Montague / Bruton, Glastonbury and Somerton, South West, Park and garden, Generally unsatisfactory with major localised problems,NA, Stable," Private, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs ",NA,NA, Medium,1000420,heritage-at-risk,NA,7500666,2024-09-26,Redlynch Park,POINT(-2.432065 51.090618),NA,geography,NA,NA,NA,REDLYNCH PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000420,ST6901232274,369841,132385,NA,51.0899778969351,-2.43200053480294,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26139, Registered Park and Garden grade II,1000342, Runnymede, Gardens parks and urban spaces > Landscape park,NA,NA, Runnymede and Weybridge, London and South East, Park and garden, Extensive significant problems,NA, Declining," Mixed, multiple owners",NA,NA, Addlestone, Surrey, Runnymede,NA,NA,NA," Registered Park and Garden grade II, 5 LBs ",NA,NA, High,1000342,heritage-at-risk,NA,7501979,2024-09-26,"Woburn Farm, Addlestone",POINT(-0.480312 51.378838),NA,geography,NA,NA,NA,WOBURN FARM,https://historicengland.org.uk/listing/the-list/list-entry/1000342,TQ0549865709,505768,165535,NA,51.3790236142892,-0.481658437249015,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26147, Registered Park and Garden grade II,1000544, Cornwall (UA), Gardens parks and urban spaces > Landscape park, Cornwall (UA), Mylor, Truro and Falmouth, South West, Park and garden, Extensive significant problems,NA, Stable," Private, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 5 LBs, WHS ",NA,NA, High,1000544,heritage-at-risk,NA,7501984,2024-09-26,Carclew,POINT(-5.099377 50.202567),NA,geography,NA,NA,NA,CARCLEW,https://historicengland.org.uk/listing/the-list/list-entry/1000544,SW7823138354,178849,38209,NA,50.2024881988882,-5.10037390973826,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148, Registered Park and Garden grade II,1000129, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park," South Gloucestershire (UA) / Bristol, City of (UA)", Stoke Gifford, Bristol North East / Filton and Bradley Stoke, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs, SM, part in CA ",NA,NA, Medium,1000129,heritage-at-risk,NA,7500337,2024-09-26,Stoke Park,POINT(-2.552928 51.490522),NA,geography,NA,NA,NA,STOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000129,ST 61723 77175,361723,177175,NA,51.4922154359786,-2.55272410750127,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26152, Registered Park and Garden grade II,1000137, East Riding of Yorkshire (UA), Gardens parks and urban spaces > Garden, East Riding of Yorkshire (UA), Cottingham, Kingston upon Hull North and Cottingham, North East and Yorkshire, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining, Private,NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, CA ",NA,NA, High,1000137,heritage-at-risk,NA,7500380,2024-09-26,Thwaite Hall,POINT(-0.401842 53.780615),NA,geography,NA,NA,NA,THWAITE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000137,TA 05392 32798,505392,432798,NA,53.7808516468271,-0.402032283920403,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26153, Registered Park and Garden grade II,1000402, North Yorkshire Council (UA), Gardens parks and urban spaces > Landscape park, North Yorkshire Council (UA), Allerton Mauleverer with Hopperton / Flaxby, Harrogate and Knaresborough, North East and Yorkshire, Park and garden, Generally satisfactory but with minor localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 19 LBs ",NA,NA, Medium,1000402,heritage-at-risk,NA,7500664,2024-09-26,Allerton Park,POINT(-1.372611 54.020444),NA,geography,NA,NA,NA,ALLERTON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000402,SE 41202 58432,441202,458432,NA,54.020254004046,-1.37263720287575,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26154, Registered Park and Garden grade II,1000413, Leeds, Gardens parks and urban spaces > Landscape park,NA,NA, Wakefield and Rothwell, North East and Yorkshire, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, West Yorkshire, Leeds,NA,NA,NA," Registered Park and Garden grade II, 2 LBs, part in CA ",NA,NA, Medium,1000413,heritage-at-risk,NA,7500356,2024-09-26,Oulton Hall,POINT(-1.460831 53.744892),NA,geography,NA,NA,NA,OULTON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000413,SE3558827703,435594,427714,NA,53.7445941238583,-1.4617817155356,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26395, Scheduled Monument,1002146, Tendring, Domestic > Settlement,NA, Ardleigh, Harwich and North Essex, East of England, Archaeology, Generally unsatisfactory with major localised problems, Arable ploughing, Declining," Mixed, multiple owners ",NA,NA,NA, Essex, Tendring,NA,NA,NA,NA,NA,NA,NA,1002146,heritage-at-risk,NA,7500536,2024-09-26,Crop mark site south of Ardleigh,POINT(0.990384 51.918312),NA,geography,NA,NA,NA,Crop mark site S of Ardleigh,https://historicengland.org.uk/listing/the-list/list-entry/1002146,"TM 05834 28780, TM 05657 28361",605834,228780,NA,51.9194837928032,0.991748690261808,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592, Scheduled Monument,1001810, Gosport, Defence > Coastal defence site,NA,NA, Gosport, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Development requiring planning permission, Declining, Commercial company,NA,NA, Haslar Gunboat Yard, Hampshire, Gosport,NA,NA,NA," Scheduled Monument, part in CA ",NA,NA,NA,1001810,heritage-at-risk,NA,7500508,2024-09-26,"Gunboat Traverser System, Haslar Gunboat Yard",POINT(-1.126400 50.787429),NA,geography,NA,NA,NA,Gunboat Traverser System,https://historicengland.org.uk/listing/the-list/list-entry/1001810,SZ6165998976,461659,98976,NA,50.7870851250304,-1.12666887409536,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27921, Scheduled Monument,1001885, Test Valley, Enclosure,NA, Chilworth, Romsey and Southampton North, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Declining, Government or agency ,NA,NA,NA, Hampshire, Test Valley,NA,NA,NA,NA,NA,NA,NA,1001885,heritage-at-risk,NA,7500393,2024-09-26,Castle Hill,POINT(-1.423585 50.950063),NA,geography,NA,NA,NA,Castle Hill,https://historicengland.org.uk/listing/the-list/list-entry/1001885,SU 40586 16895,440586,116895,NA,50.9500667755685,-1.42360859642851,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28932, Scheduled Monument,1002254, South Downs (NP), Religious ritual and funerary > Barrow,NA, Ditchling, Lewes, London and South East, Archaeology, Extensive significant problems, Arable ploughing, Declining, Private ,NA,NA,NA, East Sussex, Lewes,NA,NA,NA,NA,NA, South Downs (NP),NA,1002254,heritage-at-risk,NA,7500413,2024-09-26,Round barrow south of Ditchling Beacon,POINT(-0.109768 50.896425),NA,geography,NA,NA,NA,Round barrow S of Ditchling Beacon,https://historicengland.org.uk/listing/the-list/list-entry/1002254,TQ3302512474,533025,112474,NA,50.896433706526,-0.109800005736872,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29039, Scheduled Monument,1002250, Rother, Industrial > Metal industry site,NA, Battle, Bexhill and Battle, London and South East, Archaeology, Extensive significant problems, Deterioration - in need of management, Declining, Private ,NA,NA,NA, East Sussex, Rother,NA,NA,NA,NA,NA,NA,NA,1002250,heritage-at-risk,NA,7502115,2024-09-26,Romano-British iron working site in Beauport Park,POINT(0.539933 50.902606),NA,geography,NA,NA,NA,Romano-British iron working site in Beauport Park,https://historicengland.org.uk/listing/the-list/list-entry/1002250,TQ 78692 14529,578692,114529,NA,50.9025832338789,0.5399795654085,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29562, Scheduled Monument,1002134, Thurrock (UA), Domestic > Settlement, Thurrock (UA),NA, South Basildon and East Thurrock, East of England, Archaeology, Generally unsatisfactory with major localised problems, Arable ploughing, Declining," Mixed, multiple owners ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002134,heritage-at-risk,NA,7500412,2024-09-26,"Crop mark complex, Orsett",POINT(0.343589 51.505251),NA,geography,NA,NA,NA,"Crop mark complex, Orsett",https://historicengland.org.uk/listing/the-list/list-entry/1002134,"TQ 62954 81111, TQ 63121 81258, TQ 62684 81178, TQ 62349 81000, TQ 62561 81006",562954,181111,NA,51.5054399334108,0.346574861653019,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29734, Scheduled Monument,1002217, Colchester, Defence > Castle,NA,NA, Colchester, East of England, Archaeology, Generally satisfactory but with significant localised problems, Visitor erosion - limited/localised, Declining, Local authority,NA,NA,NA, Essex, Colchester,NA,NA,NA," Scheduled Monument, 8 LBs, part in RPG grade II, CA ",NA,NA,NA,1002217,heritage-at-risk,NA,7505039,2024-09-26,Colchester Castle,POINT(0.903780 51.891377),NA,geography,NA,NA,NA,Colchester Castle and the Temple of Claudius,https://historicengland.org.uk/listing/the-list/list-entry/1002217,TL9990925391,599909,225390,NA,51.8912009358675,0.903746093677683,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29848, Scheduled Monument,1002161, Uttlesford, Domestic > Fortified house,NA, Takeley, North West Essex, East of England, Archaeology, Extensive significant problems, Arable ploughing, Declining, Commercial company ,NA,NA,NA, Essex, Uttlesford,NA,NA,NA,NA,NA,NA,NA,1002161,heritage-at-risk,NA,7500537,2024-09-26,Site of Waltham Hall,POINT(0.276200 51.895386),NA,geography,NA,NA,NA,Site of Waltham Hall,https://historicengland.org.uk/listing/the-list/list-entry/1002161,TL 56717 24318,556717,224318,NA,51.8953790956122,0.276185555221511,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30042, Scheduled Monument,1001940, Test Valley, Maritime > Dock and harbour installation,NA, Longstock, Romsey and Southampton North, London and South East, Archaeology, Generally unsatisfactory with major localised problems, Scrub/tree growth, Declining, Commercial company,NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Scheduled Monument, CA ",NA,NA,NA,1001940,heritage-at-risk,NA,7500731,2024-09-26,The Moat,POINT(-1.484189 51.132998),NA,geography,NA,NA,NA,The Moat,https://historicengland.org.uk/listing/the-list/list-entry/1001940,SU 36183 37213,436183,137213,NA,51.1330547152936,-1.48426141118689,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30384, Scheduled Monument,1001849, Gosport, Defence > Battery,NA,NA, Gosport, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Local authority ,NA,NA,NA, Hampshire, Gosport,NA,NA,NA,NA,NA,NA,NA,1001849,heritage-at-risk,NA,7500729,2024-09-26,Fortifications S of Trinity Church,POINT(-1.119839 50.791863),NA,geography,NA,NA,NA,"Bastion No 1, Gosport Lines",https://historicengland.org.uk/listing/the-list/list-entry/1001849,SZ6213999513,462139,99513,NA,50.7918624040366,-1.11976977459563,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386, Scheduled Monument,1001794, Test Valley, Transport > Water transport site,NA, Kings Somborne, Romsey and Southampton North, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Private ,NA,NA,NA, Hampshire, Test Valley,NA,NA,NA,NA,NA,NA,NA,1001794,heritage-at-risk,NA,7500506,2024-09-26,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",POINT(-1.506053 51.074787),NA,geography,NA,NA,NA,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",https://historicengland.org.uk/listing/the-list/list-entry/1001794,SU 34701 30724,434701,130724,NA,51.0747987345637,-1.5060627654243,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/3118359, Scheduled Monument,1002126, Maldon, Transport > Railway transport site,NA, Wickham Bishops, Witham, East of England, Building or structure, Very bad,NA,NA, Local authority , Wickham Bishops timber trestle railway viaduct,NA,NA, Essex, Maldon, Vacant/not in use, C - Slow decay; no solution agreed, C,NA,NA,NA,NA,1002126,heritage-at-risk,NA,7500534,2024-09-26,Wickham Bishops timber trestle railway viaduct,POINT(0.642610 51.775028),NA,geography,NA,NA,NA,Wickham Bishops timber trestle railway viaduct,https://historicengland.org.uk/listing/the-list/list-entry/1002126,TL 82411 11760,582411,211760,NA,51.7747815981251,0.642586514434195,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31721, Scheduled Monument,1001848, South Downs (NP), Domestic > Residential building,NA, Soberton, Winchester, London and South East, Archaeology, Extensive significant problems, Scrub/tree growth, Declining, Private ,NA,NA,NA, Hampshire, Winchester,NA,NA,NA,NA,NA, South Downs (NP),NA,1001848,heritage-at-risk,NA,7505040,2024-09-26,Roman villa in Bottom Copse,POINT(-1.112488 50.936591),NA,geography,NA,NA,NA,Roman villa in Bottom Copse,https://historicengland.org.uk/listing/the-list/list-entry/1001848,SU 62461 15612,462461,115612,NA,50.9365799443754,-1.11245861981474,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/327822, Listed Building grade II*,1021635, Wiltshire (UA), Domestic > Residential building, Wiltshire (UA), Trowbridge, South West Wiltshire, South West, Building or structure, Poor,NA,NA, Private, Courtfield House, Polebarn Road,NA,NA,NA, Vacant/not in use, A - Immediate risk of further rapid deterioration or loss of fabric; no solution agreed, A," Listed Building grade II*, CA ",NA,NA,NA,1021635,heritage-at-risk,NA,7501659,2024-09-26,"Courtfield House, Polebarn Road",POINT(-2.202634 51.319415),NA,geography,NA,NA,NA,COURTFIELD HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1021635,ST 85975 57832,385975,157832,NA,51.3194185932372,-2.20263758792334,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34573, Scheduled Monument,1002040, Enfield, Gardens parks and urban spaces > Garden,NA,NA, Enfield North, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Declining," Local authority, multiple owners",NA,NA,NA, Greater London, Enfield,NA,NA,NA," Scheduled Monument, part in RPG grade II, CA ",NA,NA,NA,1002040,heritage-at-risk,NA,7505038,2024-09-26,"Site of Elsynge Hall, Forty Hall",POINT(-0.066553 51.672467),NA,geography,NA,NA,NA,Elsyng Palace,https://historicengland.org.uk/listing/the-list/list-entry/1002040,TQ3385798871,533857,198796,NA,51.6719963222246,-0.0656545404491733,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34574, Scheduled Monument,1002043, Hounslow, Enclosure,NA,NA, Feltham and Heston, London and South East, Archaeology, Extensive significant problems, Arable ploughing, Unknown, Commercial company ,NA,NA,NA, Greater London, Hounslow,NA,NA,NA,NA,NA,NA,NA,1002043,heritage-at-risk,NA,7500531,2024-09-26,Double ditched enclosure beside A30 road 500yds (460m) west of East Bedfont parish church,POINT(-0.446892 51.451834),NA,geography,NA,NA,NA,"Part of a causewayed enclosure, 632m north-east of Mayfield Farm",https://historicengland.org.uk/listing/the-list/list-entry/1002043,TQ 08030 73664,508030,173664,NA,51.4516639688208,-0.446695108763992,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34575, Scheduled Monument,1002044, Harrow, Barrier,NA,NA, Harrow East, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Declining," Local authority, multiple owners",NA,NA,NA, Greater London, Harrow,NA,NA,NA," Scheduled Monument, part in RPG grade II, part in CA ",NA,NA,NA,1002044,heritage-at-risk,NA,7500532,2024-09-26,Grim's Ditch: section extending 1500yds (1370m) north east from Oxhey Lane,POINT(-0.357139 51.621597),NA,geography,NA,NA,NA,Grim's Ditch: section extending 1500yds (1370m) NE from Oxhey Lane,https://historicengland.org.uk/listing/the-list/list-entry/1002044,TQ 13900 92907,513900,192907,NA,51.6234654719999,-0.356034647552542,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587, Scheduled Monument,1001738," Herefordshire, County of (UA)", Defence," Herefordshire, County of (UA)", Bishopstone / Bridge Sollers / Byford, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with minor localised problems, Arable clipping, Declining, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001738,heritage-at-risk,NA,7500727,2024-09-26,Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks,POINT(-2.867624 52.083725),NA,geography,NA,NA,NA,Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks,https://historicengland.org.uk/listing/the-list/list-entry/1001738,"SO 40636 43192, SO 40811 42789",340636,243192,NA,52.0838832805788,-2.8677436763986,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701, Scheduled Monument,1001758," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Dinedor, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Other not for profit group ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001758,heritage-at-risk,NA,7500504,2024-09-26,Dinedor Camp,POINT(-2.695883 52.023538),NA,geography,NA,NA,NA,Dinedor Camp,https://historicengland.org.uk/listing/the-list/list-entry/1001758,SO 52357 36358,352357,236358,NA,52.0235813269499,-2.6957529409245,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712, Scheduled Monument,1001747," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Marden / Sutton, North Herefordshire, Midlands, Archaeology, Extensive significant problems, Dumping, Stable, Charity (heritage) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001747,heritage-at-risk,NA,7500728,2024-09-26,Sutton Walls (camp),POINT(-2.694551 52.113900),NA,geography,NA,NA,NA,Sutton Walls (camp),https://historicengland.org.uk/listing/the-list/list-entry/1001747,SO 52520 46404,352520,246404,NA,52.1139081461655,-2.69477840240727,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36249, Scheduled Monument,1002042, Hounslow, Domestic > Settlement,NA,NA, Feltham and Heston, London and South East, Archaeology, Extensive significant problems, Arable ploughing, Unknown," Commercial company, multiple owners ",NA,NA,NA, Greater London, Hounslow,NA,NA,NA,NA,NA,NA,NA,1002042,heritage-at-risk,NA,7500530,2024-09-26,Romano-British site 1000yds (910m) west of East Bedfont parish church,POINT(-0.453375 51.453010),NA,geography,NA,NA,NA,Romano-British site 1000yds (910m) W of East Bedfont parish church,https://historicengland.org.uk/listing/the-list/list-entry/1002042,TQ 07560 73802,507560,173802,NA,51.4529937289923,-0.453414466295853,NA
