url,Heritage.Category,List.Entry.Number,Local.Planning.Authority,Site.Type,Unitary.Authority,Parish,Parliamentary.Constituency,Region,Assessment.Type,Condition,Principal.Vunerability,Trend,Ownership,Building.Name,Street.Name,Locality,County,District...Borough,Occupancy...Use,Priority,Previous.Priority,Designation,List.Entry.Number.s.,Vulnerability,ListEntry,dataset,end.date,entity,entry.date,name,point,start.date,typology,geography,heritage.at.risk,organisation,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon,Grade
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24508, Registered Battlefield,1000000, Bradford, Battlefield,NA, Drighlington, Leeds South West and Morley / Bradford South, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA, West Yorkshire, Bradford / Kirklees / Leeds,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II ",NA, High,1000000,heritage-at-risk,NA,7500659,2024-09-26,Battle of Adwalton Moor,POINT(-1.675013 53.756361),NA,geography,NA,NA,NA,Battle of Adwalton Moor 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000000,SE2164428855,421360,429026,NA,53.7571605557066,-1.67751079186108,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24509, Registered Battlefield,1000003, North Yorkshire Council (UA), Battlefield, North Yorkshire Council (UA), Boroughbridge / Langthorpe / Milby, Wetherby and Easingwold, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA,NA,NA,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II, part in CA ",NA, Medium,1000003,heritage-at-risk,NA,7500377,2024-09-26,Battle of Boroughbridge,POINT(-1.390626 54.098949),NA,geography,NA,NA,NA,Battle of Boroughbridge 1322,https://historicengland.org.uk/listing/the-list/list-entry/1000003,SE 39851 67186,439851,467186,NA,54.0990324637578,-1.39210862568694,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24542, Registered Battlefield,1000025, Newcastle upon Tyne, Battlefield,NA,NA, Blaydon and Consett / Hexham, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable," Private, multiple owners",NA,NA, Ryton / Newburn, Tyne and Wear, Newcastle upon Tyne / Gateshead,NA, B - Action/strategy agreed but not yet implemented (where trend is declining or unknown), B," Registered Battlefield, 6 LBs, 2 CAs ",NA, High,1000025,heritage-at-risk,NA,7500660,2024-09-26,Battle of Newburn Ford,POINT(-1.745530 54.978350),NA,geography,NA,NA,NA,Battle of Newburn Ford 1640,https://historicengland.org.uk/listing/the-list/list-entry/1000025,NZ 16383 63953,416383,563953,NA,54.9699312703893,-1.74561991663417,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24684, Registered Park and Garden grade I,1000155, Mid Suffolk, Gardens parks and urban spaces > Landscape park,NA, Hemingstone / Barham / Coddenham, Central Suffolk and North Ipswich, East of England, Park and garden, Extensive significant problems,NA, Declining," Private, multiple owners",NA,NA,NA, Suffolk, Mid Suffolk,NA,NA,NA," Registered Park and Garden grade I, 29 LBs, part in CA ",NA, High,1000155,heritage-at-risk,NA,7500395,2024-09-26,Shrubland Hall,POINT(1.103647 52.133384),NA,geography,NA,NA,NA,SHRUBLAND HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000155,TM1181653099,612274,252889,NA,52.1335079247918,1.10019451049204,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24706, Registered Park and Garden grade I,1000165, Hart, Gardens parks and urban spaces > Landscape park,NA, Mattingley / Bramshill / Eversley, North East Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Hart,NA,NA,NA," Registered Park and Garden grade I, 8 LBs, part in SM, part in CA ",NA, Medium,1000165,heritage-at-risk,NA,7500351,2024-09-26,Bramshill Park,POINT(-0.910021 51.332322),NA,geography,NA,NA,NA,Bramshill Park,https://historicengland.org.uk/listing/the-list/list-entry/1000165,SU7626960141,476801,159656,NA,51.3308237770926,-0.899040425813335,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24710, Registered Park and Garden grade II*,1000194, Redbridge, Gardens parks and urban spaces > Park,NA,NA, Leyton and Wanstead, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA, Greater London, Redbridge / Waltham Forest,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs, 2 CAs ",NA, High,1000194,heritage-at-risk,NA,7501977,2024-09-26,Wanstead Park,POINT(0.032099 51.567394),NA,geography,NA,NA,NA,WANSTEAD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000194,TQ4104087270,540989,187461,NA,51.5684015546444,0.0328577527522428,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25151, Registered Park and Garden grade II,1000205," Brighton and Hove, City of (UA)", Gardens parks and urban spaces > Garden," Brighton and Hove, City of (UA)",NA, Brighton Pavilion, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 3 LBs, CA ",NA, High,1000205,heritage-at-risk,NA,7500396,2024-09-26,"The Royal Pavilion Gardens, Brighton",POINT(-0.137804 50.822766),NA,geography,NA,NA,NA,"THE ROYAL PAVILION, BRIGHTON",https://historicengland.org.uk/listing/the-list/list-entry/1000205,TQ 31244 04227,531244,104227,NA,50.8227193147721,-0.138065486832619,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26104, Registered Park and Garden grade II,1000124, Cheshire East (UA), Gardens parks and urban spaces > Landscape park, Cheshire East (UA), Crewe Green / Weston, Crewe and Nantwich, North West, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High,1000124,heritage-at-risk,NA,7500379,2024-09-26,Crewe Hall,POINT(-2.399744 53.084148),NA,geography,NA,NA,NA,CREWE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000124,SJ7337054317,373275,353572,NA,53.0786987456967,-2.40039146076917,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117, Registered Park and Garden grade II,1000215, Test Valley, Gardens parks and urban spaces > Landscape park,NA, Wellow, Romsey and Southampton North, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High,1000215,heritage-at-risk,NA,7500352,2024-09-26,Embley Park,POINT(-1.539065 50.984474),NA,geography,NA,NA,NA,EMBLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000215,SU 32390 20704,432390,120710,NA,50.9848884861012,-1.53994005533874,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148, Registered Park and Garden grade II,1000129, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park," South Gloucestershire (UA) / Bristol, City of (UA)", Stoke Gifford, Bristol North East / Filton and Bradley Stoke, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs, SM, part in CA ",NA, Medium,1000129,heritage-at-risk,NA,7500337,2024-09-26,Stoke Park,POINT(-2.552928 51.490522),NA,geography,NA,NA,NA,STOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000129,ST 61723 77175,361723,177175,NA,51.4922154359786,-2.55272410750127,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26152, Registered Park and Garden grade II,1000137, East Riding of Yorkshire (UA), Gardens parks and urban spaces > Garden, East Riding of Yorkshire (UA), Cottingham, Kingston upon Hull North and Cottingham, North East and Yorkshire, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining, Private,NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, CA ",NA, High,1000137,heritage-at-risk,NA,7500380,2024-09-26,Thwaite Hall,POINT(-0.401842 53.780615),NA,geography,NA,NA,NA,THWAITE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000137,TA 05392 32798,505392,432798,NA,53.7808516468271,-0.402032283920403,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592, Scheduled Monument,1001810, Gosport, Defence > Coastal defence site,NA,NA, Gosport, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Development requiring planning permission, Declining, Commercial company,NA,NA, Haslar Gunboat Yard, Hampshire, Gosport,NA,NA,NA," Scheduled Monument, part in CA ",NA,NA,1001810,heritage-at-risk,NA,7500508,2024-09-26,"Gunboat Traverser System, Haslar Gunboat Yard",POINT(-1.126400 50.787429),NA,geography,NA,NA,NA,Gunboat Traverser System,https://historicengland.org.uk/listing/the-list/list-entry/1001810,SZ6165998976,461659,98976,NA,50.7870851250304,-1.12666887409536,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386, Scheduled Monument,1001794, Test Valley, Transport > Water transport site,NA, Kings Somborne, Romsey and Southampton North, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Private ,NA,NA,NA, Hampshire, Test Valley,NA,NA,NA,NA,NA,NA,1001794,heritage-at-risk,NA,7500506,2024-09-26,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",POINT(-1.506053 51.074787),NA,geography,NA,NA,NA,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",https://historicengland.org.uk/listing/the-list/list-entry/1001794,SU 34701 30724,434701,130724,NA,51.0747987345637,-1.5060627654243,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/327822, Listed Building grade II*,1021635, Wiltshire (UA), Domestic > Residential building, Wiltshire (UA), Trowbridge, South West Wiltshire, South West, Building or structure, Poor,NA,NA, Private, Courtfield House, Polebarn Road,NA,NA,NA, Vacant/not in use, A - Immediate risk of further rapid deterioration or loss of fabric; no solution agreed, A," Listed Building grade II*, CA ",NA,NA,1021635,heritage-at-risk,NA,7501659,2024-09-26,"Courtfield House, Polebarn Road",POINT(-2.202634 51.319415),NA,geography,NA,NA,NA,COURTFIELD HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1021635,ST 85975 57832,385975,157832,NA,51.3194185932372,-2.20263758792334,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587, Scheduled Monument,1001738," Herefordshire, County of (UA)", Defence," Herefordshire, County of (UA)", Bishopstone / Bridge Sollers / Byford, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with minor localised problems, Arable clipping, Declining, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001738,heritage-at-risk,NA,7500727,2024-09-26,Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks,POINT(-2.867624 52.083725),NA,geography,NA,NA,NA,Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks,https://historicengland.org.uk/listing/the-list/list-entry/1001738,"SO 40636 43192, SO 40811 42789",340636,243192,NA,52.0838832805788,-2.8677436763986,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701, Scheduled Monument,1001758," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Dinedor, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Other not for profit group ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001758,heritage-at-risk,NA,7500504,2024-09-26,Dinedor Camp,POINT(-2.695883 52.023538),NA,geography,NA,NA,NA,Dinedor Camp,https://historicengland.org.uk/listing/the-list/list-entry/1001758,SO 52357 36358,352357,236358,NA,52.0235813269499,-2.6957529409245,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712, Scheduled Monument,1001747," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Marden / Sutton, North Herefordshire, Midlands, Archaeology, Extensive significant problems, Dumping, Stable, Charity (heritage) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001747,heritage-at-risk,NA,7500728,2024-09-26,Sutton Walls (camp),POINT(-2.694551 52.113900),NA,geography,NA,NA,NA,Sutton Walls (camp),https://historicengland.org.uk/listing/the-list/list-entry/1001747,SO 52520 46404,352520,246404,NA,52.1139081461655,-2.69477840240727,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37756, Scheduled Monument,1001735," Herefordshire, County of (UA)", Barrier," Herefordshire, County of (UA)", Lyonshall, North Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Development requiring planning permission, Declining," Private, multiple owners ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001735,heritage-at-risk,NA,7500391,2024-09-26,Offa's Dyke: section north west of Holme Marsh extending 615 yards (560 metres) to the railway,POINT(-2.974065 52.189224),NA,geography,NA,NA,NA,Offa's Dyke: section NW of Holme Marsh extending 615yds (560m) to the railway,https://historicengland.org.uk/listing/the-list/list-entry/1001735,SO 33493 55016,333493,255016,NA,52.1893578466299,-2.97428676871494,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37764, Scheduled Monument,1001731," Herefordshire, County of (UA)", Defence," Herefordshire, County of (UA)", Kington Rural / Knill, North Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Stock erosion - localised/limited, Improving, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001731,heritage-at-risk,NA,7500726,2024-09-26,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) east to Kennel Wood",POINT(-3.032993 52.229575),NA,geography,NA,NA,NA,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood",https://historicengland.org.uk/listing/the-list/list-entry/1001731,SO 29562 59529,329562,259529,NA,52.2294359126987,-3.03272038639519,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43323, Scheduled Monument,1001778," Herefordshire, County of (UA)", Defence > Castle," Herefordshire, County of (UA)", Walterstone, Hereford and South Herefordshire, Midlands, Archaeology, Generally unsatisfactory with major localised problems, Scrub/tree growth, Declining, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001778,heritage-at-risk,NA,7500505,2024-09-26,"Motte and bailey, west of St Mary's Church",POINT(-2.961579 51.919567),NA,geography,NA,NA,NA,"Motte and bailey, W of St Mary's Church",https://historicengland.org.uk/listing/the-list/list-entry/1001778,SO 33964 24999,333964,224999,NA,51.9195816937558,-2.96158548199207,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46649, Scheduled Monument,1001789, Gosport, Defence > Coastal defence site,NA,NA, Gosport, London and South East, Building or structure, Poor,NA,NA, Private, Gilkicker Fort, Fort Road, Gilkicker Point, Hampshire, Gosport, Vacant/not in use, F - Repair scheme in progress and (where applicable) end use or user identified; or functionally redundant buildings with new use agreed but not yet implemented., F, Scheduled Monument and Listed Building grade II*, 1001789 and 1276716 ,NA,1001789,heritage-at-risk,NA,7502103,2024-09-26,"Gilkicker Fort, Fort Road, Gilkicker Point",POINT(-1.140891 50.774004),NA,geography,NA,NA,NA,Gilkicker fort,https://historicengland.org.uk/listing/the-list/list-entry/1001789,SZ 60679 97497,460679,97497,NA,50.7738898125786,-1.14081318554153,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48364, Scheduled Monument,1001808," Portsmouth, City of (UA)", Defence > Fort," Portsmouth, City of (UA)", Southwick and Widley, Fareham and Waterlooville / Portsmouth North, London and South East, Building or structure, Fair,NA,NA, Commercial company, Fort Southwick, Portsdown Hill,NA, Hampshire, Winchester, Part occupied/part in use, C - Slow decay; no solution agreed, C," Scheduled Monument and Listed Buildings - 2 grade I, SM", 1001808 and 1104368; 1167213 ,NA,1001808,heritage-at-risk,NA,7500507,2024-09-26,"Fort Southwick, Portsdown Hill, Portsmouth",POINT(-1.108698 50.858324),NA,geography,NA,NA,NA,"Fort Southwick
See also HAMPSHIRE 500",https://historicengland.org.uk/listing/the-list/list-entry/1001808,SU 62824 06926,462824,106838,NA,50.8576508623299,-1.10879991749887,NA
