url,Heritage Category,List Entry Number,Local Planning Authority,Site Type,Unitary Authority,Parish,Parliamentary Constituency,Region,Assessment Type,Condition,Principal Vunerability,Trend,Ownership,Building Name,Street Name,Locality,County,District / Borough,Occupancy / Use,Priority,Previous Priority,Designation,List Entry Number(s),Vulnerability
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37764, Scheduled Monument, 1001731," Herefordshire, County of (UA)", Defence," Herefordshire, County of (UA)", Kington Rural / Knill, North Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Stock erosion - localised/limited, Improving, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37756, Scheduled Monument, 1001735," Herefordshire, County of (UA)", Barrier," Herefordshire, County of (UA)", Lyonshall, North Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Development requiring planning permission, Declining," Private, multiple owners ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587, Scheduled Monument, 1001738," Herefordshire, County of (UA)", Defence," Herefordshire, County of (UA)", Bishopstone / Bridge Sollers / Byford, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with minor localised problems, Arable clipping, Declining, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712, Scheduled Monument, 1001747," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Marden / Sutton, North Herefordshire, Midlands, Archaeology, Extensive significant problems, Dumping, Stable, Charity (heritage) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701, Scheduled Monument, 1001758," Herefordshire, County of (UA)", Defence > Hillfort," Herefordshire, County of (UA)", Dinedor, Hereford and South Herefordshire, Midlands, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Other not for profit group ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43323, Scheduled Monument, 1001778," Herefordshire, County of (UA)", Defence > Castle," Herefordshire, County of (UA)", Walterstone, Hereford and South Herefordshire, Midlands, Archaeology, Generally unsatisfactory with major localised problems, Scrub/tree growth, Declining, Private ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46649, Scheduled Monument, 1001789, Gosport, Defence > Coastal defence site,NA,NA, Gosport, London and South East, Building or structure, Poor,NA,NA, Private, Gilkicker Fort, Fort Road, Gilkicker Point, Hampshire, Gosport, Vacant/not in use, F - Repair scheme in progress and (where applicable) end use or user identified; or functionally redundant buildings with new use agreed but not yet implemented., F, Scheduled Monument and Listed Building grade II*, 1001789 and 1276716 ,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386, Scheduled Monument, 1001794, Test Valley, Transport > Water transport site,NA, Kings Somborne, Romsey and Southampton North, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Scrub/tree growth, Improving, Private ,NA,NA,NA, Hampshire, Test Valley,NA,NA,NA,NA,NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48364, Scheduled Monument, 1001808," Portsmouth, City of (UA)", Defence > Fort," Portsmouth, City of (UA)", Southwick and Widley, Fareham and Waterlooville / Portsmouth North, London and South East, Building or structure, Fair,NA,NA, Commercial company, Fort Southwick, Portsdown Hill,NA, Hampshire, Winchester, Part occupied/part in use, C - Slow decay; no solution agreed, C," Scheduled Monument and Listed Buildings - 2 grade I, SM", 1001808 and 1104368; 1167213 ,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592, Scheduled Monument, 1001810, Gosport, Defence > Coastal defence site,NA,NA, Gosport, London and South East, Archaeology, Generally satisfactory but with significant localised problems, Development requiring planning permission, Declining, Commercial company,NA,NA, Haslar Gunboat Yard, Hampshire, Gosport,NA,NA,NA," Scheduled Monument, part in CA ",NA,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26104, Registered Park and Garden grade II, 1000124, Cheshire East (UA), Gardens parks and urban spaces > Landscape park, Cheshire East (UA), Crewe Green / Weston, Crewe and Nantwich, North West, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148, Registered Park and Garden grade II, 1000129, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park," South Gloucestershire (UA) / Bristol, City of (UA)", Stoke Gifford, Bristol North East / Filton and Bradley Stoke, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs, SM, part in CA ",NA, Medium
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26152, Registered Park and Garden grade II, 1000137, East Riding of Yorkshire (UA), Gardens parks and urban spaces > Garden, East Riding of Yorkshire (UA), Cottingham, Kingston upon Hull North and Cottingham, North East and Yorkshire, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining, Private,NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, CA ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24684, Registered Park and Garden grade I, 1000155, Mid Suffolk, Gardens parks and urban spaces > Landscape park,NA, Hemingstone / Barham / Coddenham, Central Suffolk and North Ipswich, East of England, Park and garden, Extensive significant problems,NA, Declining," Private, multiple owners",NA,NA,NA, Suffolk, Mid Suffolk,NA,NA,NA," Registered Park and Garden grade I, 29 LBs, part in CA ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24706, Registered Park and Garden grade I, 1000165, Hart, Gardens parks and urban spaces > Landscape park,NA, Mattingley / Bramshill / Eversley, North East Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Hart,NA,NA,NA," Registered Park and Garden grade I, 8 LBs, part in SM, part in CA ",NA, Medium
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24710, Registered Park and Garden grade II*, 1000194, Redbridge, Gardens parks and urban spaces > Park,NA,NA, Leyton and Wanstead, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA, Greater London, Redbridge / Waltham Forest,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs, 2 CAs ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25151, Registered Park and Garden grade II, 1000205," Brighton and Hove, City of (UA)", Gardens parks and urban spaces > Garden," Brighton and Hove, City of (UA)",NA, Brighton Pavilion, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 3 LBs, CA ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117, Registered Park and Garden grade II, 1000215, Test Valley, Gardens parks and urban spaces > Landscape park,NA, Wellow, Romsey and Southampton North, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24508, Registered Battlefield, 1000000, Bradford, Battlefield,NA, Drighlington, Leeds South West and Morley / Bradford South, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA, West Yorkshire, Bradford / Kirklees / Leeds,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24509, Registered Battlefield, 1000003, North Yorkshire Council (UA), Battlefield, North Yorkshire Council (UA), Boroughbridge / Langthorpe / Milby, Wetherby and Easingwold, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA,NA,NA,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II, part in CA ",NA, Medium
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24542, Registered Battlefield, 1000025, Newcastle upon Tyne, Battlefield,NA,NA, Blaydon and Consett / Hexham, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable," Private, multiple owners",NA,NA, Ryton / Newburn, Tyne and Wear, Newcastle upon Tyne / Gateshead,NA, B - Action/strategy agreed but not yet implemented (where trend is declining or unknown), B," Registered Battlefield, 6 LBs, 2 CAs ",NA, High
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/327822, Listed Building grade II*, 1021635, Wiltshire (UA), Domestic > Residential building, Wiltshire (UA), Trowbridge, South West Wiltshire, South West, Building or structure, Poor,NA,NA, Private, Courtfield House, Polebarn Road,NA,NA,NA, Vacant/not in use, A - Immediate risk of further rapid deterioration or loss of fabric; no solution agreed, A," Listed Building grade II*, CA ",NA,NA
